Anon.Student.Id,PreMeta,Post1Meta,Post2Meta,Post3Meta,PreSE,Post1SE,Post2SE,Post3SE,PreMAP,Post1MAP,Post2MAP,Post3MAP,PreMath,PostMath,PreMotivation,PostMotivation1,PostMotivation2,PostMotivation3
stu_ALKXT72745,4.1,4.1,NA,4.2,5.25,5.25,NA,5.75,5,5,NA,4.666666667,0.783554595,0.148037199,5.125,5.125,NA,5.208333333
stu_BJHGT69384,5.3,5.3,5.4,4.8,5.875,5.875,6,6,5.666666667,5.666666667,5.333333333,6,0.700678378,0.477069767,5.770833333,5.770833333,5.666666667,6
stu_BOYXR98395,3.7,3.7,NA,NA,2.875,2.875,NA,NA,4,4,NA,NA,0.825436994,0.533099625,3.4375,3.4375,NA,NA
stu_ECSHD18730,5.9,5.9,6.4,6.2,6.875,6.875,6.5,6.25,6.333333333,6.333333333,6.666666667,7,0.745424324,0.705653846,6.604166667,6.604166667,6.583333333,6.625
stu_FSEGF69160,5.2,5.2,5.2,4.6,4.625,4.625,6,4.5,5.5,5.5,6,6,0.486842703,0.559298748,5.0625,5.0625,6,5.25
stu_GGRDN25946,3,3,NA,2.8,3.375,3.375,NA,3.25,3.166666667,3.166666667,NA,3.666666667,NA,0.211630197,3.270833333,3.270833333,NA,3.458333333
stu_GWBBU93563,5.5,5.5,NA,2.4,6.5,6.5,NA,1,6.5,6.5,NA,1,0.779420133,0.206296736,6.5,6.5,NA,1
stu_GYVDC93886,6.05,6.05,6.2,6.4,6.4375,6.4375,6.5,6.75,6.5,6.5,6.333333333,6.666666667,0.97320207,0.961521348,6.46875,6.46875,6.416666667,6.708333333
stu_GZCDP73071,4.2,4.2,4,4,4.5,4.5,4,4,4.333333333,4.333333333,4,4,0.906534595,0.925428444,4.416666667,4.416666667,4,4
stu_HRQYD51680,5.1,5.1,NA,NA,6.375,6.375,NA,NA,5.333333333,5.333333333,NA,NA,0,NA,5.854166667,5.854166667,NA,NA
stu_HTHCO80933,3.7,3.7,NA,NA,4,4,NA,NA,3.5,3.5,NA,NA,0.999849462,0.714580645,3.75,3.75,NA,NA
stu_HVDQG68998,6.4,6.4,7,7,7,7,7,7,6.666666667,6.666666667,7,7,0.914973447,0.775044944,6.833333333,6.833333333,7,7
stu_INYEL09842,3.8,3.8,NA,3.6,5.25,5.25,NA,6.75,6,6,NA,7,0,0.10533698,5.625,5.625,NA,6.875
stu_IZYBF34277,5.2,5.2,NA,NA,6.75,6.75,NA,NA,6.444444444,6.444444444,NA,NA,0.70372256,0.82591599,6.597222222,6.597222222,NA,NA
stu_JBUPG57305,5.2,5.2,3.6,4.6,7,7,7,5.5,6.666666667,6.666666667,7,5,0.873596757,0.91013864,6.833333333,6.833333333,7,5.25
stu_LMKHL45367,5,5,NA,NA,5.5,5.5,NA,NA,5.166666667,5.166666667,NA,NA,1,0.971414747,5.333333333,5.333333333,NA,NA
stu_LNDQE54236,3.3,3.3,NA,NA,4,4,NA,NA,6.666666667,6.666666667,NA,NA,0.516547255,0.569272659,5.333333333,5.333333333,NA,NA
stu_LZOJA47553,2.2,2.2,NA,2,1.25,1.25,NA,1,1,1,NA,1,0.908714054,0.184231947,1.125,1.125,NA,1
